v-sweep;V(/out1);user1;
0;1.8;-1.62794e-06;
0.001;1.8;-1.53569e-06;
0.002;1.8;-1.50003e-06;
0.003;1.8;-1.53105e-06;
0.004;1.8;-1.57279e-06;
0.005;1.8;-1.61587e-06;
0.006;1.8;-1.66024e-06;
0.007;1.8;-1.70576e-06;
0.008;1.8;-1.75241e-06;
0.009;1.8;-1.80031e-06;
0.01;1.8;-1.84985e-06;
0.011;1.8;-1.9005e-06;
0.012;1.8;-1.95247e-06;
0.013;1.8;-2.00596e-06;
0.014;1.8;-2.06089e-06;
0.015;1.8;-2.11744e-06;
0.016;1.8;-2.17518e-06;
0.017;1.8;-2.23516e-06;
0.018;1.8;-2.29661e-06;
0.019;1.8;-2.35941e-06;
0.02;1.8;-2.42395e-06;
0.021;1.8;-2.49044e-06;
0.022;1.8;-2.55885e-06;
0.023;1.8;-2.62873e-06;
0.024;1.8;-2.7006e-06;
0.025;1.8;-2.77498e-06;
0.026;1.8;-2.85137e-06;
0.027;1.8;-2.92955e-06;
0.028;1.8;-3.00968e-06;
0.029;1.8;-3.09219e-06;
0.03;1.8;-3.17727e-06;
0.031;1.8;-3.26404e-06;
0.032;1.8;-3.35359e-06;
0.033;1.8;-3.44575e-06;
0.034;1.8;-3.54048e-06;
0.035;1.8;-3.63749e-06;
0.036;1.8;-3.73707e-06;
0.037;1.8;-3.83974e-06;
0.038;1.8;-3.94511e-06;
0.039;1.8;-4.05337e-06;
0.04;1.8;-4.16454e-06;
0.041;1.8;-4.27896e-06;
0.042;1.8;-4.39597e-06;
0.043;1.8;-4.51668e-06;
0.044;1.8;-4.641e-06;
0.045;1.8;-4.76827e-06;
0.046;1.8;-4.89892e-06;
0.047;1.8;-5.03339e-06;
0.048;1.8;-5.17163e-06;
0.049;1.8;-5.31356e-06;
0.05;1.8;-5.4594e-06;
0.051;1.8;-5.60909e-06;
0.052;1.8;-5.76322e-06;
0.053;1.8;-5.92137e-06;
0.054;1.8;-6.08381e-06;
0.055;1.8;-6.25049e-06;
0.056;1.8;-6.42217e-06;
0.057;1.8;-6.59859e-06;
0.058;1.8;-6.77957e-06;
0.059;1.8;-6.96597e-06;
0.06;1.8;-7.15689e-06;
0.061;1.8;-7.35325e-06;
0.062;1.8;-7.55534e-06;
0.063;1.8;-7.76252e-06;
0.064;1.8;-7.97556e-06;
0.065;1.8;-8.19458e-06;
0.066;1.8;-8.41935e-06;
0.067;1.8;-8.65043e-06;
0.068;1.8;-8.8879e-06;
0.069;1.8;-9.1317e-06;
0.07;1.8;-9.38248e-06;
0.071;1.8;-9.6396e-06;
0.072;1.8;-9.90432e-06;
0.073;1.8;-1.01764e-05;
0.074;1.8;-1.04554e-05;
0.075;1.8;-1.07421e-05;
0.076;1.8;-1.1037e-05;
0.077;1.8;-1.13403e-05;
0.078;1.8;-1.16513e-05;
0.079;1.8;-1.19707e-05;
0.08;1.8;-1.22994e-05;
0.081;1.8;-1.26369e-05;
0.082;1.8;-1.29832e-05;
0.083;1.8;-1.33395e-05;
0.084;1.8;-1.37057e-05;
0.085;1.8;-1.40816e-05;
0.086;1.8;-1.44677e-05;
0.087;1.8;-1.48646e-05;
0.088;1.8;-1.52727e-05;
0.089;1.8;-1.56917e-05;
0.09;1.8;-1.61216e-05;
0.091;1.8;-1.65642e-05;
0.092;1.8;-1.70185e-05;
0.093;1.8;-1.74848e-05;
0.094;1.8;-1.79647e-05;
0.095;1.8;-1.84573e-05;
0.096;1.8;-1.89635e-05;
0.097;1.8;-1.94836e-05;
0.098;1.8;-2.00175e-05;
0.099;1.8;-2.05664e-05;
0.1;1.8;-2.11305e-05;
0.101;1.8;-2.17094e-05;
0.102;1.8;-2.23045e-05;
0.103;1.8;-2.29163e-05;
0.104;1.8;-2.35445e-05;
0.105;1.8;-2.41896e-05;
0.106;1.8;-2.48524e-05;
0.107;1.8;-2.55334e-05;
0.108;1.8;-2.62334e-05;
0.109;1.8;-2.69525e-05;
0.11;1.8;-2.76907e-05;
0.111;1.8;-2.84491e-05;
0.112;1.8;-2.92288e-05;
0.113;1.8;-3.00298e-05;
0.114;1.8;-3.08519e-05;
0.115;1.8;-3.16968e-05;
0.116;1.8;-3.25654e-05;
0.117;1.8;-3.34573e-05;
0.118;1.8;-3.43734e-05;
0.119;1.8;-3.53145e-05;
0.12;1.8;-3.62812e-05;
0.121;1.8;-3.72746e-05;
0.122;1.8;-3.8295e-05;
0.123;1.8;-3.93433e-05;
0.124;1.8;-4.04202e-05;
0.125;1.8;-4.15264e-05;
0.126;1.8;-4.26629e-05;
0.127;1.8;-4.38301e-05;
0.128;1.8;-4.50289e-05;
0.129;1.8;-4.62611e-05;
0.13;1.8;-4.7527e-05;
0.131;1.8;-4.88268e-05;
0.132;1.8;-5.01621e-05;
0.133;1.8;-5.15337e-05;
0.134;1.8;-5.29427e-05;
0.135;1.8;-5.43905e-05;
0.136;1.8;-5.58775e-05;
0.137;1.8;-5.74045e-05;
0.138;1.8;-5.89732e-05;
0.139;1.8;-6.05856e-05;
0.14;1.8;-6.22408e-05;
0.141;1.8;-6.39408e-05;
0.142;1.8;-6.56879e-05;
